"","ID","AGE","GEN","EXP","ANT","OCB","FRCC","RBSE"
"45",45,25,1,3,1,5,14,4
"46",46,36,0,10,1,3.66666666666667,13,4.4
"47",47,27,0,1,1,3.33333333333333,13,3.8
"48",48,40,1,15,15,4,16,4.2
"49",49,44,0,28,28,5,16,5
"50",50,28,0,7,1,3.66666666666667,15,3.8
"51",51,29,0,6,5,4,14,4
"52",52,26,1,3,1,4,12,4
"53",53,34,1,8,8,4,16,4
"54",54,34,1,8,8,4,16,4
"55",55,55,0,32,32,4.16666666666667,14,3.6
"56",56,32,1,9,10,3.83333333333333,13,4.8
"57",57,39,0,15,10,3.16666666666667,12,3
"58",58,40,1,12,5,4.33333333333333,16,5
"59",59,38,1,10,1,3.16666666666667,9,3
"60",60,52,0,28,28,3.66666666666667,12,3.8
"61",61,37,0,15,3,3.83333333333333,14,4
"62",62,38,0,19,6,4.16666666666667,19,3.8
"63",63,45,0,8,3,4,13,4
"64",64,55,0,31,27,1.5,16,5
"65",65,55,0,30,30,3.66666666666667,15,3.6
"66",66,35,1,10,10,3.66666666666667,13,3.8
"67",67,49,1,25,14,3.66666666666667,13,4.4
"68",68,52,1,33,33,3.33333333333333,11,3.8
"69",69,60,0,36,27,2.66666666666667,10,4.6
"70",70,38,0,10,4,3.83333333333333,13,4
"71",71,29,1,5,1,3.66666666666667,14,4.8
"72",72,35,0,7,2,4.5,15,3.6
"73",73,53,1,20,10,5,18,5
"74",74,29,1,5,4,3.33333333333333,12,4
"75",75,32,1,5,5,4,13,3.2
"76",76,32,1,7,3,3.33333333333333,12,4.4
"77",77,51,1,20,20,3.33333333333333,13,3.8
"78",78,36,0,10,1,4.33333333333333,12,4
"79",79,63,1,35,30,4.16666666666667,14,4.8
"80",80,47,1,15,15,5,20,5
"81",81,46,0,20,3,3.83333333333333,11,3.6
"82",82,61,0,20,20,3.33333333333333,15,4.6
"83",83,58,0,35,25,5,16,5
"84",84,55,1,28,20,4.16666666666667,15,4.2
"85",85,52,1,25,25,4,16,4.6
"86",86,28,0,5,1,3.16666666666667,14,3.6
"87",87,35,0,8,4,3.66666666666667,11,5
"88",88,26,0,3,1,3.5,12,3.8
"89",89,48,1,25,25,2.33333333333333,11,3.8
"90",90,47,1,25,20,3.66666666666667,15,3.6
"91",91,52,1,15,20,4.5,16,3.6
"92",92,31,0,2,1,2.5,12,4
"93",93,44,1,15,10,3.5,13,4.2
"94",94,33,0,8,3,3,12,3
"95",95,55,0,30,2,4.66666666666667,16,4.4
"96",96,45,1,20,2,4,14,4
"97",97,29,1,5,1,2.66666666666667,16,5
"98",98,61,1,38,38,2.83333333333333,13,3
"99",99,26,0,4,0,3.83333333333333,13,4.2
"100",100,32,0,5,1,3.5,12,3.8
"101",101,49,1,18,18,3.16666666666667,15,4
"102",102,57,0,35,34,3.16666666666667,15,4
"103",103,39,1,14,4,4,13,5
"104",104,59,1,25,19,3.66666666666667,10,4.2
"105",105,35,1,8,5,3.83333333333333,13,3.4
"106",106,57,1,25,15,4.16666666666667,14,4.6
"107",107,62,0,41,41,4.66666666666667,16,4.8
"108",108,56,1,23,16,5,16,5
"109",109,62,0,25,25,4,16,4
"110",110,33,1,15,2,2.66666666666667,9,2.8
"111",111,59,0,25,10,4.33333333333333,20,5
"112",112,36,0,11,11,2.83333333333333,11,3.6
"113",113,57,0,33,32,4.16666666666667,13,4.2
"114",114,31,0,4,4,3.66666666666667,12,4
"115",115,33,0,10,10,4,16,4.6
"116",116,36,0,13,13,3,12,2.8
"117",117,45,1,20,20,3.33333333333333,14,3.8
"118",118,32,1,15,15,4.16666666666667,16,4.6
"119",119,33,0,8,1,2.83333333333333,8,3.4
"120",120,57,0,30,30,3.5,12,3.8
"121",121,54,1,31,31,2.83333333333333,11,3.8
"122",122,60,0,30,5,3.83333333333333,15,5
"123",123,44,1,35,6,5,20,5
"124",124,32,0,8,8,4.66666666666667,12,4.8
"125",125,46,0,21,21,4.33333333333333,14,4.8
"126",126,55,0,31,27,1,16,4.2
"127",127,43,1,10,3,3.66666666666667,14,3
"128",128,48,0,24,15,3.66666666666667,13,4.4
"129",129,32,1,10,3,4.16666666666667,16,4.4
"130",130,45,0,18,12,3,12,3
"131",131,40,1,20,7,5,20,5
"132",132,54,1,18,15,3.66666666666667,15,4.4
"133",133,48,0,20,15,3.16666666666667,14,4
"134",134,35,0,10,10,5,20,5
"135",135,34,1,10,5,4,16,4
"136",136,34,1,10,5,4,16,4
"137",137,29,0,5,5,3.83333333333333,13,5
"138",138,47,1,17,6,2.83333333333333,11,3
"139",139,54,1,34,20,5,15,4.6
"140",140,29,0,0,0.5,2.83333333333333,11,3.6
"141",141,38,1,10,2001,3.66666666666667,13,3.8
"142",142,46,1,20,20,4,15,4.2
"143",143,34,1,3,1,2.16666666666667,10,2.6
"144",144,47,1,25,5,3.33333333333333,14,4.2
"145",145,30,0,3,1,2.5,5,3.6
"146",146,30,0,5,3,2.16666666666667,10,2
"147",147,49,1,26,1,3.16666666666667,11,3.8
"148",148,26,0,2,1.5,3.5,13,4.8
"149",149,41,0,17,14,3.33333333333333,9,3.8
"150",150,51,0,10,26,4,11,4.4
"151",151,36,1,16,16,2.66666666666667,11,2.8
"152",152,56,1,30,20,3.33333333333333,11,4
"153",153,32,1,8,6,4.33333333333333,12,5
"154",154,32,0,10,8,3.66666666666667,8,3.6
"155",155,42,1,12,10,4.16666666666667,12,4.2
"156",156,54,1,30,30,2.66666666666667,4,3.8
"157",157,49,1,20,0,4.16666666666667,14,4.8
"158",158,56,0,40,1,3.5,14,4
"159",159,32,0,5,2,5,20,5
"160",160,37,1,10,10,4,14,3.8
"161",161,52,1,30,17,3.5,13,4
"162",162,50,0,25,10,3,12,3
"163",163,34,1,8,8,4.33333333333333,17,4.2
"164",164,34,1,10,5,3.5,13,3.6
"165",165,58,0,38,38,5,19,4.6
"166",166,38,0,20,10,4,14,5
"167",167,51,0,32,8,4.5,15,4.8
"168",168,39,0,15,8,4.33333333333333,18,4.4
"169",169,47,1,25,11,3.66666666666667,13,4
"170",170,43,0,15,6,1.66666666666667,8,2.4
"171",171,52,1,10,3,4.33333333333333,13,3.2
