id,edad,sexo,exp,ant,empr,sup,doc,form,pi01,pi02,pi03,pi04,pi05,pi06,pi07,pi08,pi09,pi10,pc01,pc02,pc03,pc04,pc05,pc06,pc07,pc08,pre01,pre02,pre03,pre04,pre05,pre06,pro01,pro02,pro03,pro04,pro05,pro06,ac01,ac02,ac03,ac04,ac05,ac06,cch01,cch02,cch03,cch04,cch05,cch06,ccl01,ccl02,ccl03,nc01,nc02,nc03,nc04,nc05,nc06
113,25,1,5,3,4,0,1,0,6,3,6,5,6,5,7,5,6,6,4,4,1,4,5,3,4,4,6,6,6,5,5,4,4,5,4,4,5,5,6,6,6,6,6,6,6,4,4,4,4,5,6,5,6,5,3,3,2,2,5
114,43,1,17,17,1,1,0,1,7,7,6,6,6,6,6,6,6,6,4,4,4,6,6,6,4,7,6,6,6,6,6,6,6,6,6,6,6,6,4,3,5,3,2,4,5,6,6,6,6,6,7,7,7,2,1,2,2,3,3
115,49,1,25,13,1,0,0,0,7,7,7,7,7,6,6,6,6,6,6,4,2,6,6,4,1,6,6,7,7,7,7,7,7,7,5,7,7,7,7,5,7,7,7,4,5,5,4,5,7,6,5,5,5,1,5,1,1,5,5
116,43,0,14,5,2,1,0,1,6,4,6,4,4,3,4,6,5,6,6,2,2,2,2,4,6,1,6,6,6,6,6,5,4,3,5,7,7,3,1,7,5,3,1,7,3,3,1,1,1,1,1,1,1,3,2,2,2,7,7
117,30,1,8,9,4,0,0,1,7,4,5,6,5,4,3,4,3,2,3,4,2,5,4,3,1,1,6,7,6,7,7,6,5,7,6,4,7,5,6,7,5,1,3,4,7,7,4,3,6,1,4,2,2,3,2,4,1,1,1
118,43,0,23,12,3,1,0,0,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
119,40,1,25,6,4,0,0,1,7,7,7,6,7,7,5,7,7,7,3,1,1,1,1,3,1,1,7,7,7,7,7,7,2,1,1,7,7,1,7,7,7,7,7,7,7,7,4,4,1,3,1,1,1,1,1,1,1,7,1
120,54,0,37,37,1,0,0,0,7,5,7,5,6,5,4,4,4,4,5,4,3,5,4,5,3,4,7,7,7,7,7,7,4,4,3,4,6,3,7,6,6,6,7,7,7,7,7,6,6,4,4,4,3,3,3,3,3,7,6
121,47,0,12,9,5,1,0,0,7,7,7,7,7,6,3,6,6,6,6,4,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,5,6,5,5,5,5,4,3,2,3,2,2,1,5,4
122,31,1,6,3,2,1,0,1,6,7,7,7,7,7,6,7,7,7,7,5,5,7,4,6,2,5,6,7,7,7,7,7,7,6,4,6,7,1,4,7,6,7,7,7,4,5,7,6,7,5,2,1,2,7,7,7,7,6,2
123,46,0,18,16,3,1,0,1,6,3,5,4,4,3,1,1,1,3,4,3,1,5,5,5,4,6,5,5,7,7,6,6,5,6,4,4,6,6,6,5,6,5,3,3,5,5,5,6,7,7,5,6,7,3,3,1,1,1,1
124,37,0,14,4,3,1,0,0,6,5,6,7,6,4,3,4,3,3,6,3,7,4,4,5,2,4,4,5,6,6,6,6,6,6,6,6,6,4,2,2,4,3,3,3,3,3,5,5,4,4,6,4,6,3,2,2,2,2,2
125,50,0,31,31,2,0,0,0,6,4,4,6,6,7,4,5,7,7,6,3,6,6,6,6,4,6,6,6,6,6,6,6,6,6,5,6,6,6,7,7,7,7,7,7,6,7,7,7,7,7,4,4,2,5,5,5,5,6,7
126,45,0,21,20,2,0,1,1,7,5,6,4,6,4,2,5,5,5,6,4,7,6,6,6,7,4,5,7,7,7,7,7,7,4,4,5,6,5,6,5,5,4,3,4,4,5,6,4,5,5,4,4,4,2,2,4,1,4,3
127,26,1,3,3,1,1,0,1,7,7,7,7,7,6,4,7,6,6,2,2,2,5,5,5,7,5,7,7,7,7,7,7,6,3,3,2,5,2,7,6,6,6,6,5,7,7,7,6,6,7,6,6,1,6,6,6,4,6,6
128,30,1,7,5,2,1,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,7,6,6,5,6,6,6,5,5,7,6,6,6,5,3,6,5,6,5,7,5
129,42,0,20,12,3,1,0,0,7,5,5,4,6,5,2,5,6,6,1,1,1,4,1,1,3,3,7,7,7,7,7,7,7,6,5,5,7,5,7,6,6,5,5,5,5,6,5,5,5,4,5,5,5,2,4,4,4,5,5
